,Total mean,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
PAYMENTS,1649.7587849123267,1911.3923037035624,938.8077104741863,2414.039808674312,1328.7934591119342,858.2883825898709,1727.9964113206588,2432.557295140344,1302.1835269338453,1549.3451724933343,1723.9522282157031,6160.021724906905,843.4416724847188,1164.3909116885927,1498.5584812996285,4782.740012733665,802.546629782104,1155.3471646447636,5817.605573632162,1155.1214059320894,1488.9228396052029,4876.26021620212,778.3428165114933,1999.8878887246385,5845.581153709511,1163.7120093922624,1906.1120364730543,1157.9288928063195,1494.2087518365533,1268.3630055426997,1164.081755997775,646.450077308531,5863.183154237444,4893.419811411067
MINIMUM_PAYMENTS,736.1937366184184,995.8118552776143,547.4659851164847,773.3697679429373,607.8826850125876,605.350831747224,899.825020479363,800.2593420152871,598.8685461185404,600.045769551218,893.618787322819,1699.0147228924031,597.5672733724728,536.2603561941455,557.5850920387886,1839.6111025128669,585.1828780455722,743.5605215079055,1524.4087754403745,615.185106629378,495.99322666052075,1575.4218911140365,383.73603102184205,6607.706527360435,1252.6645114415658,461.06334398241523,7256.397816686293,619.5101221472908,503.9015392086672,1190.8581437846722,465.0578344092507,170.10244443475503,1265.6254725380013,1590.6691799704113
PRC_FULL_PAYMENT,0.15385216998434464,0.04400210020964363,0.19243217591623057,0.195728967117282,0.1005955525885559,0.257053973767526,0.043933145754717004,0.19080283141210397,0.09914734887547996,0.17440398666666673,0.04416841769157997,0.25643602363636386,0.2576778544217687,0.10150820729588883,0.18138652003727868,0.06542836333333338,0.25987337540156036,0.03945384044321337,0.277217882474227,0.0398667694915255,0.18325711867612296,0.06932054690265492,0.26789980436847105,0.017298227053140096,0.2891358964059199,0.10192731946072686,0.008664479041916171,0.040047506772009106,0.18288058031088086,0.018869142335766424,0.10180796662763467,0.34858844855708904,0.28974031063829814,0.06968437857142862
TENURE,11.520688883918586,11.305241090146751,11.483507853403141,11.760321519912313,11.473024523160763,11.469923111714156,11.310849056603773,11.752881844380404,11.476686780032912,11.719111111111111,11.316461684011353,11.84909090909091,11.468480725623582,11.496236247828605,11.731593662628145,11.233333333333333,11.472234970169803,11.346814404432132,11.894845360824743,11.336158192090396,11.728132387706856,11.19646017699115,11.459164292497626,11.8743961352657,11.89217758985201,11.492379835873388,11.868263473053892,11.336907449209932,11.729156853509185,11.627737226277372,11.492388758782202,11.40840652446675,11.891489361702128,11.198214285714286
MONTHLY_AVG_PURCHASE,80.6143115966919,8.228100467387266,49.60676841045085,186.9679573821625,62.330865998246395,43.5857871504344,1.7733879145225842,182.40211722710336,59.44386715244288,117.24756098797495,1.684169741406496,454.0939476354464,43.250787402695615,59.926631557948575,118.64462762039915,59.507069705387195,43.26581916158905,0.0,479.9341215408885,0.0,118.19587737404439,57.82922728166623,42.47330591562078,91.92004427295733,481.3985453431943,59.799318210576715,91.88972553594112,0.0,118.26110644344664,47.77211736565347,59.77121791602882,41.53528858059903,483.76471868226434,58.20398724747477
MONTHLY_AVG_CASH_ADVANCE,84.56045580979722,218.78744090344102,27.551960680689298,47.16224314806964,68.64976159538092,26.72517339839297,194.44233875920693,57.22628485962445,68.23294654716074,47.05833814711007,193.0960115539401,108.79304155034932,26.22609169479071,45.92544032713606,30.898880125370955,522.9936098977993,21.006405952573285,126.25471971605143,47.54323723791318,127.45097519195092,30.55303585869717,534.8234405164625,20.81101532602887,90.07880352893432,47.06484679433662,46.319151165112046,91.40495740991956,127.37754498156681,30.6427177518737,75.88369401051312,46.35469360025864,4.74653707424023,46.98975572830756,535.1753967741788
LIMIT_USAGE,0.38569671566367175,0.5777140790031289,0.29471682533273935,0.3453539204497677,0.3766831682786455,0.25945751926709837,0.5698313024743887,0.3515790638789511,0.37595729077185885,0.3407616832405058,0.5693046061178694,0.4065276839180944,0.2583745757860222,0.3627705575581481,0.32722550637384223,0.6016981040356568,0.2553779202101535,0.5645152482144631,0.3788288006122265,0.55848048331003,0.3203986326003196,0.5829185074035108,0.23315523227633067,0.8999116057463876,0.35518211185701365,0.3564418235060412,0.913545728403397,0.5586233158396525,0.3217908296064906,0.7807608926942095,0.35719929121752264,0.05681871059249982,0.35671462397650544,0.5841378416953081
Both,0.31022142697383137,0.039412997903563944,0.0,0.979174278407015,0.0,0.0,0.013207547169811321,0.989193083573487,0.0,1.0,0.010406811731315043,0.9127272727272727,0.0,0.0,1.0,0.30666666666666664,0.0,0.0,0.9154639175257732,0.0,1.0,0.30796460176991153,0.0,0.2222222222222222,0.9281183932346723,0.0,0.2275449101796407,0.0,1.0,0.0,0.0,0.0,0.9297872340425531,0.3142857142857143
Installment_purchase,0.25273987922165064,0.028930817610062894,0.568848167539267,0.006576543660942638,0.0,1.0,0.017452830188679245,0.004322766570605188,0.0,0.0,0.01750236518448439,0.03272727272727273,1.0,0.0,0.0,0.11166666666666666,1.0,0.0,0.0288659793814433,0.0,0.0,0.10619469026548672,1.0,0.4106280193236715,0.019027484143763214,0.0,0.3473053892215569,0.0,0.0,1.0,0.0,1.0,0.01702127659574468,0.09285714285714286
None,0.22802505032431222,0.8549266247379455,0.0,0.0,0.0,0.0,0.9617924528301887,0.0,0.0,0.0,0.9645222327341533,0.0,0.0,0.0,0.0,0.39,0.0,1.0,0.0,1.0,0.0,0.39823008849557523,0.0,0.21256038647342995,0.0,0.0,0.24550898203592814,1.0,0.0,0.0,0.0,0.0,0.0,0.4035714285714286
On_off,0.20901364348020576,0.07672955974842767,0.43115183246073296,0.014249177932042383,1.0,0.0,0.007547169811320755,0.006484149855907781,1.0,0.0,0.007568590350047304,0.05454545454545454,0.0,1.0,0.0,0.19166666666666668,0.0,0.0,0.05567010309278351,0.0,0.0,0.18761061946902655,0.0,0.15458937198067632,0.052854122621564484,1.0,0.17964071856287425,0.0,0.0,0.0,1.0,0.0,0.05319148936170213,0.18928571428571428
cluster_3,1.039364795347797,0.0,1.0,2.0,0.9215258855585831,0.9882406151062868,0.0,1.951729106628242,0.9166209544706527,1.9457777777777778,0.0,1.9381818181818182,0.9882086167800453,0.9675738274464389,1.9990680335507922,0.31333333333333335,0.9981642955484167,0.0,2.0,0.0,1.9990543735224586,0.30619469026548674,0.9985754985754985,0.9371980676328503,2.0,0.9671746776084408,0.8982035928143712,0.0,1.9990579368817711,0.9854014598540146,0.9672131147540983,1.0,2.0,0.3107142857142857
cluster_4,1.6527622455826436,1.8754716981132076,0.568848167539267,2.971501644135915,0.0,1.0,2.0,3.0,0.0,2.997333333333333,2.000946073793756,2.909090909090909,1.0,0.0,3.0,1.885,1.0,2.0,2.9298969072164947,2.0,3.0,1.9008849557522123,1.0,1.5893719806763285,2.9281183932346724,0.0,1.6287425149700598,2.0,3.0,1.0,0.0,1.0,2.931914893617021,1.917857142857143
cluster_5,1.8953254305524492,1.8687631027253668,2.274869109947644,1.3887468030690537,0.019618528610354225,3.9972862957937583,1.9981132075471697,1.3825648414985592,0.0,1.0,2.0,3.0,4.0,0.0,1.0074557315936625,1.69,3.9995410738871042,2.0,2.9835051546391753,2.0,1.0047281323877069,1.6867256637168142,3.999525166191833,2.4589371980676327,2.955602536997886,0.0,2.2934131736526946,2.0,1.0056523787093736,3.9963503649635035,0.0,4.0,2.9638297872340424,1.6553571428571427
cluster_6,2.183851487363006,3.459538784067086,1.7049738219895287,1.740591888929485,0.1340599455040872,2.9882406151062866,3.702830188679245,1.7381123919308357,0.10532089961601755,1.055111111111111,3.7076631977294228,4.610909090909091,2.987755102040816,0.0,1.0,2.0,3.0,4.0,5.0,3.998870056497175,1.0004728132387706,2.0,3.0,2.6473429951690823,4.938689217758985,0.0011723329425556857,2.658682634730539,3.9988713318284423,1.0004710315591145,2.9872262773722627,0.00117096018735363,3.0,4.963829787234043,2.0
cluster_7,2.5712368597629167,0.6846960167714885,4.300785340314136,1.8012422360248448,5.767847411444142,3.0257801899592947,0.37358490566037733,1.7744956772334295,5.775644541963796,1.1,0.36896877956480606,4.62,3.023582766439909,5.97510133178923,1.0475302889095992,2.1083333333333334,3.033501606241395,0.07977839335180055,4.960824742268041,0.0,1.0,2.0,3.0,4.0,5.0,6.0,4.0,0.004514672686230248,1.0127178520960904,3.0383211678832116,5.9976580796252925,3.0,4.997872340425532,2.0107142857142857
cluster_8,3.2659360322075597,2.257861635220126,4.213089005235602,2.822433321154549,4.0953678474114446,4.40479421076436,1.8429245283018867,2.8973342939481266,4.088864509051015,2.2208888888888887,1.8282876064333018,5.76,4.408163265306122,3.9571511291256516,1.9860205032618825,6.59,4.398347865993575,0.9811634349030471,5.771134020618557,1.0,2.0,6.943362831858407,4.513770180436847,0.6183574879227053,5.968287526427061,4.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0
